#,Torneo,PJ,PG,PE,PP,GF,GC,DIF,EFE,Puestoalcanzado
1,1971-72,3,1,0,2,3,5,-2,33.33%,Semifinal
2,1973-74,2,1,0,1,5,6,-1,50.00%,Semifinal
3,1975-76,4,2,1,1,9,5,4,58.33%,Semifinal
4,1978-79,6,1,4,1,8,8,0,38.89%,Ronda grupal
5,1981-82,2,1,0,1,3,5,-2,50.00%,Cuartos de final
6,1983-84,2,0,1,1,1,2,-1,16.67%,Cuartos de final
7,México 86,6,4,1,1,11,2,9,72.22%,Final (Campeón)
8,1986-87,2,0,1,1,3,4,-1,16.67%,Cuartos de final
9,1990-91,2,1,0,1,1,4,-3,50.00%,Cuartos de final
10,1992-93,6,2,2,2,5,6,-1,44.44%,Final (Subcampeón)
11,1994-95,2,1,0,1,2,2,0,50.00%,Reclasificación
12,1995-96,2,0,2,0,2,2,0,33.33%,Cuartos de final
13,Invierno 1996,2,1,0,1,3,6,-3,50.00%,Reclasificación
14,Verano 2001,2,0,1,1,2,6,-4,16.67%,Cuartos de final
15,Clausura 2003,6,3,2,1,12,7,5,61.11%,Final (Campeón)
16,Apertura 2004,6,3,1,2,11,8,3,55.56%,Final (Subcampeón)
17,Clausura 2005,2,0,2,0,3,3,0,33.33%,Cuartos de final
18,Apertura 2005,6,3,1,2,12,8,4,55.56%,Final (Subcampeón)
19,Apertura 2006,2,0,1,1,1,2,-1,16.67%,Cuartos de final
20,Clausura 2008,4,1,3,0,11,8,3,50.00%,Semifinal
21,Clausura 2009,2,0,1,1,3,5,-2,16.67%,Cuartos de final
22,Apertura 2009,6,4,2,0,11,6,5,77.78%,Final (Campeón)
23,Bicentenario 2010,2,0,0,2,1,3,-2,0.00%,Cuartos de final
24,Apertura 2010,6,2,3,1,11,7,4,50.00%,Final (Campeón)
25,Clausura 2011,2,1,0,1,3,3,0,50.00%,Cuartos de final
26,Clausura 2012,6,2,3,1,8,6,2,50.00%,Final (Subcampeón)
27,Apertura 2012,2,0,1,1,1,2,-1,16.67%,Cuartos de final
28,Clausura 2013,4,1,2,1,5,5,0,41.67%,Semifinal
29,Apertura 2014,4,1,1,2,2,4,-2,33.33%,Semifinal
30,Clausura 2016,6,2,1,3,9,8,1,38.89%,Final (Subcampeón )
31,Clausura 2017,2,0,0,2,1,6,-5,0.00%,Cuartos de final
32,Apertura 2017,6,4,1,1,13,5,8,72.22%,Final (Subcampeón )
33,Clausura 2018,2,0,1,1,2,3,-1,16.67%,Cuartos de final
34,Apertura 2018,4,3,0,1,4,1,3,75.00%,Semifinal
35,Clausura 2019,4,2,0,2,2,2,0,50.00%,Semifinal
36,Apertura 2019,6,4,1,1,12,7,5,72.22%,Final (Campeón)
37,Apertura 2020,1,0,1,0,2,2,0,33.33%,Reclasificación
38,Clausura 2021,2,0,1,1,2,3,-1,16.66%,Cuartos de final
39,Apertura 2021,3,1,2,0,5,2,3,55.55%,Cuartos de final
40,Clausura 2022,1,0,1,0,2,2,0,33.33%,Reclasificación
41,Apertura 2022,4,1,1,2,5,6,-1,37.50%,Semifinal
42,Clausura 2023,4,1,2,1,3,2,-1,37.50%,Semifinal
43,Apertura 2023,2,0,1,1,1,2,-1,40.00%,Cuartos de final
44,Clausura 2024,4,2,1,1,5,4,1,53.33%,Semifinal
45,Apertura 2024,6,3,1,2,14,9,5,55.56%,Final (Subcampeón)
